"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"1008",608716,"Steckenrider, Drew","1008","100.0","0.214","0.119","0.258","0.333","0.264","0.282","0.228","52","243","90.4","16.1","2215","90.5","89.90","103","502","506","-0.6","6.00","112","153","113","147","296","324","297"
"1008",518886,"Kimbrel, Craig","1008","100.0","0.150","0.121","0.243","0.272","0.230","0.235","0.156","31","206","90.5","19.6","2406","92.3","92.64","201","460","548","0.3","6.54","114","156","115","150","297","322","300"
"1007",608032,"Estévez, Carlos","1007","100.0","0.293","0.161","0.354","0.455","0.345","0.319","0.255","71","242","89.3","11.7","2081","93.9","94.13","123","502","505","0.2","6.36","110","149","118","146","302","331","306"
"1004",547973,"Chapman, Aroldis","1004","100.0","0.182","0.177","0.287","0.359","0.300","0.301","0.174","36","198","87.0","11.2","2173","93.8","95.08","176","444","560","1.3","7.22","110","152","116","147","300","325","287"
"1002",606424,"García, Jarlín","1002","100.0","0.196","0.184","0.231","0.380","0.269","0.278","0.219","48","245","88.6","11.9","2222","88.5","87.01","106","469","533","-1.5","6.45","111","155","114","149","296","322","295"
"999",621242,"Díaz, Edwin","999","100.0","0.195","0.090","0.308","0.285","0.264","0.250","0.173","43","221","86.2","15.6","2262","95.7","97.37","176","501","498","1.7","7.20","115","154","112","148","302","328","305"
"998",571521,"Brothers, Rex","998","100.0","0.212","0.187","0.288","0.399","0.327","0.349","0.235","41","193","91.5","15.8","2101","91.6","91.07","147","433","565","-0.5","5.98","111","154","116","151","296","320","298"
"997",518813,"Holland, Greg","997","100.0","0.229","0.178","0.261","0.407","0.310","0.355","0.254","49","214","88.1","11.6","2171","87.6","87.37","134","470","527","-0.2","6.06","107","156","115","144","298","321","300"
"993",641793,"Littell, Zack","993","100.0","0.207","0.167","0.253","0.374","0.287","0.300","0.218","46","222","89.3","12.0","2044","91.9","92.17","147","517","476","0.3","6.44","108","152","114","147","299","322","294"
"993",642207,"Williams, Devin","993","100.0","0.186","0.108","0.301","0.294","0.268","0.258","0.174","36","194","85.1","11.5","2613","87.7","87.17","197","460","533","-0.5","6.96","109","153","118","147","301","325","300"
"990",664062,"Gonsolin, Tony","990","100.0","0.202","0.167","0.254","0.369","0.305","0.293","0.201","41","203","87.0","15.7","2255","88.5","88.20","131","441","549","-0.3","5.99","111","156","116","151","297","317","294"
"989",596057,"Norris, Daniel","989","100.0","0.256","0.172","0.311","0.428","0.340","0.316","0.230","55","215","91.5","9.9","2158","89.2","87.63","121","448","541","-1.6","5.61","108","152","118","148","297","323","301"
"987",656420,"Feyereisen, J.P.","987","100.0","0.183","0.137","0.220","0.320","0.278","0.301","0.200","36","197","87.8","18.3","2392","90.1","87.96","166","478","509","-2.1","5.97","106","155","116","149","301","324","296"
"986",665152,"Kremer, Dean","986","100.0","0.292","0.296","0.297","0.588","0.397","0.378","0.275","63","216","92.8","21.6","2303","88.0","87.72","91","447","539","-0.3","6.27","109","152","118","149","302","323","295"
"982",650496,"Mejía, J.C.","982","100.0","0.286","0.252","0.313","0.538","0.385","0.364","0.279","60","210","90.6","7.9","2205","88.9","88.62","93","448","534","-0.3","6.06","114","153","119","150","292","320","294"
"982",552640,"Kittredge, Andrew","982","100.0","0.210","0.122","0.268","0.332","0.251","0.263","0.216","55","262","88.3","5.1","2550","92.4","92.90","167","538","443","0.5","6.64","106","153","116","147","301","322","292"
"981",519326,"Strickland, Hunter","981","100.0","0.213","0.167","0.252","0.380","0.292","0.297","0.210","46","216","86.3","19.9","2511","90.2","89.43","132","484","496","-0.8","6.09","107","153","118","147","300","322","297"
"973",669622,"Bender, Anthony","973","100.0","0.207","0.143","0.276","0.350","0.275","0.267","0.205","45","217","87.9","6.1","2358","91.1","90.32","119","394","579","-0.8","5.88","106","148","116","147","301","320","288"
"972",543521,"McHugh, Collin","972","100.0","0.207","0.082","0.290","0.289","0.236","0.234","0.202","48","232","86.0","15.9","2635","83.2","83.39","149","474","498","0.2","6.61","107","155","118","149","298","319","295"
"970",501625,"Álvarez, José","970","100.0","0.217","0.061","0.254","0.279","0.245","0.286","0.248","53","244","85.9","7.9","2002","87.2","85.85","95","459","511","-1.4","6.48","111","153","114","149","296","321","294"
"966",624522,"Thompson, Keegan","966","100.0","0.233","0.175","0.273","0.408","0.326","0.351","0.250","48","206","88.9","12.6","2433","89.9","89.81","108","451","515","-0.1","6.17","107","154","114","149","295","323","299"
"964",657006,"Steele, Justin","964","100.0","0.233","0.205","0.264","0.437","0.332","0.307","0.224","50","215","86.4","7.6","2532","89.1","88.73","118","428","536","-0.4","6.36","105","150","115","148","300","323","297"
"964",623352,"Hader, Josh","964","100.0","0.127","0.066","0.237","0.193","0.200","0.227","0.152","25","197","87.1","21.1","2146","92.2","87.67","222","491","473","-4.5","6.65","110","153","117","148","305","327","301"
"962",613534,"Adams, Austin","962","100.0","0.159","0.085","0.265","0.244","0.297","0.310","0.164","28","176","84.3","18.6","2802","87.8","87.13","133","389","573","-0.7","5.83","114","152","125","146","299","320","308"
"962",607481,"Bummer, Aaron","962","100.0","0.202","0.048","0.298","0.250","0.257","0.252","0.179","42","208","88.3","-10.6","2156","91.1","89.90","130","408","554","-1.2","6.07","110","149","112","146","298","318","294"
"961",657612,"Hill, Tim","961","100.0","0.230","0.158","0.264","0.387","0.301","0.302","0.228","51","222","85.7","2.1","2186","90.6","89.41","105","464","497","-1.2","6.78","114","149","118","146","295","318","308"
"960",657093,"Watkins, Spenser","960","100.0","0.322","0.274","0.326","0.596","0.405","0.388","0.299","74","230","90.1","16.6","2250","87.3","87.47","79","441","519","0.2","6.38","110","155","119","149","293","323","295"
"959",542914,"Bass, Anthony","959","100.0","0.241","0.184","0.272","0.425","0.312","0.326","0.252","55","228","88.1","10.8","2084","90.6","90.26","117","435","524","-0.3","6.29","106","149","116","148","301","318","287"
"956",519151,"Pressly, Ryan","956","100.0","0.208","0.089","0.298","0.297","0.238","0.247","0.200","49","236","89.8","6.4","2768","90.4","89.85","152","478","478","-0.6","6.13","114","155","116","151","291","322","291"
"949",570666,"Cessa, Luis","949","100.0","0.229","0.113","0.276","0.342","0.277","0.297","0.246","55","240","86.3","7.8","2293","86.7","86.13","120","444","505","-0.6","5.78","112","153","117","147","295","322","288"
"948",572193,"Tepera, Ryan","948","100.0","0.164","0.108","0.223","0.272","0.230","0.248","0.169","35","213","86.6","13.9","2197","89.4","89.63","163","464","484","0.2","6.39","110","154","114","149","297","320","297"
"947",605177,"Chafin, Andrew","947","100.0","0.186","0.087","0.232","0.273","0.231","0.267","0.205","45","242","86.7","11.5","2196","89.4","89.31","123","474","473","-0.1","6.66","109","154","116","150","298","324","299"
"945",617228,"Sawamura, Hirokazu","945","100.0","0.227","0.202","0.279","0.429","0.324","0.314","0.218","45","198","89.1","11.5","1846","92.8","92.84","155","443","502","0.0","6.35","110","153","119","147","293","327","295"
"944",593144,"Rodríguez, Richard","944","100.0","0.209","0.163","0.222","0.372","0.264","0.314","0.242","50","239","91.5","22.8","2403","91.5","92.04","101","499","445","0.5","6.78","110","153","125","147","303","324","294"
"943",554340,"García, Yimi","943","100.0","0.230","0.178","0.277","0.408","0.290","0.321","0.250","49","213","88.3","14.2","2511","91.5","90.57","128","476","467","-0.9","5.83","109","151","118","147","300","319","289"
"938",625643,"López, Reynaldo","938","100.0","0.205","0.215","0.222","0.420","0.280","0.298","0.235","42","205","89.3","13.6","2213","91.5","91.72","114","460","478","0.2","6.33","111","154","113","149","300","322","297"
"936",675921,"Howard, Spencer","936","100.0","0.269","0.183","0.329","0.452","0.352","0.329","0.247","53","197","88.0","16.2","2058","89.6","89.85","106","420","516","0.2","6.54","111","152","116","145","300","325","294"
"936",650895,"Castillo, Diego","936","100.0","0.194","0.160","0.248","0.354","0.268","0.256","0.190","40","206","86.9","9.0","2171","89.7","88.20","148","451","485","-1.5","5.35","109","154","115","147","298","320","292"
"936",647315,"Pop, Zach","936","100.0","0.254","0.108","0.321","0.362","0.316","0.303","0.229","54","213","84.5","2.2","2246","92.3","91.80","111","437","499","-0.5","6.28","107","147","115","146","295","317","287"
"935",592741,"Shreve, Chasen","935","100.0","0.212","0.163","0.234","0.374","0.298","0.301","0.210","43","203","87.3","16.3","1822","86.0","86.25","109","449","486","0.3","6.53","109","153","119","148","300","320","292"
"934",670280,"Bednar, David","934","100.0","0.185","0.139","0.259","0.324","0.249","0.247","0.189","40","216","87.2","15.4","2187","90.7","90.91","163","500","434","0.2","6.59","111","153","121","149","302","322","292"
"934",622092,"Zimmer, Kyle","934","100.0","0.243","0.153","0.279","0.397","0.321","0.328","0.228","46","189","88.8","10.2","2156","88.3","87.95","101","408","526","-0.4","6.20","107","157","116","146","300","322","302"
"923",641401,"Brogdon, Connor","923","100.0","0.221","0.141","0.258","0.362","0.277","0.264","0.210","47","213","85.7","15.0","2162","90.5","91.47","141","488","435","1.0","7.04","111","150","112","147","295","324","294"
"921",605151,"Bradley, Archie","921","100.0","0.258","0.146","0.299","0.404","0.324","0.303","0.230","51","198","86.7","6.5","1973","90.4","90.77","77","435","486","0.4","6.64","110","152","114","148","296","325","293"
"919",598264,"Barnes, Matt","919","100.0","0.206","0.151","0.306","0.357","0.278","0.254","0.174","41","199","89.8","18.0","2194","90.6","91.36","146","433","486","0.8","6.79","111","154","119","148","291","327","297"
"918",656685,"Martin, Brett","918","100.0","0.272","0.102","0.312","0.374","0.293","0.286","0.259","67","246","86.8","5.0","2186","89.6","89.37","111","490","428","-0.2","6.19","112","154","121","146","297","324","294"
"917",642545,"Barría, Jaime","917","100.0","0.307","0.167","0.333","0.474","0.361","0.361","0.302","70","228","89.7","14.0","2175","89.8","89.47","81","424","493","-0.3","6.13","111","157","116","148","301","326","295"
"915",676979,"Crochet, Garrett","915","100.0","0.213","0.076","0.303","0.289","0.269","0.283","0.217","42","197","86.8","13.1","2295","93.1","94.28","117","408","507","1.2","6.96","108","150","111","147","297","318","297"
"912",622065,"Young, Alex","912","100.0","0.307","0.231","0.333","0.538","0.389","0.365","0.282","65","212","89.7","9.2","2159","86.9","85.09","120","447","465","-1.8","5.77","110","152","119","150","298","324","298"
"911",676969,"de Geus, Brett","911","100.0","0.308","0.169","0.357","0.478","0.379","0.356","0.279","62","201","89.4","4.5","2121","90.2","89.04","70","394","517","-1.2","5.74","110","152","119","147","296","325","295"
"910",663423,"Thornton, Trent","910","100.0","0.278","0.258","0.321","0.536","0.371","0.344","0.256","54","194","90.0","13.7","2552","88.3","86.72","102","431","479","-1.6","6.04","108","154","119","148","295","315","287"
"909",642701,"Santana, Dennis","909","100.0","0.240","0.100","0.291","0.340","0.310","0.345","0.260","48","200","86.9","9.1","2453","90.1","89.15","113","422","487","-0.9","6.06","111","154","121","146","299","320","292"
"899",453178,"Kennedy, Ian","899","100.0","0.216","0.202","0.246","0.418","0.296","0.303","0.224","45","208","90.4","26.8","2384","92.4","92.37","132","485","414","0.0","6.49","114","154","119","148","299","328","295"
"894",669330,"Wells, Tyler","894","100.0","0.192","0.173","0.228","0.365","0.258","0.290","0.219","40","208","89.6","24.1","2405","92.0","91.61","139","492","402","-0.4","6.24","111","154","121","149","300","323","295"
"894",664948,"Misiewicz, Anthony","894","100.0","0.280","0.151","0.340","0.431","0.324","0.306","0.247","61","218","90.1","12.2","2494","88.2","87.49","122","466","428","-0.7","5.90","112","154","115","147","293","317","293"
"889",471911,"Carrasco, Carlos","889","100.0","0.272","0.230","0.299","0.502","0.350","0.326","0.252","59","217","88.6","10.3","2034","90.1","90.44","124","461","428","0.3","6.46","113","159","113","149","302","324","297"
"888",446321,"Detwiler, Ross","888","100.0","0.222","0.227","0.264","0.449","0.326","0.312","0.216","44","198","87.8","15.7","2073","87.9","85.58","96","400","488","-2.3","5.51","107","150","118","147","298","316","291"
"878",459429,"McGee, Jake","878","100.0","0.196","0.134","0.228","0.330","0.242","0.271","0.216","44","224","90.3","20.7","2120","93.6","92.06","104","504","374","-1.5","6.12","112","153","113","149","299","323","293"
"876",608638,"Chargois, JT","876","100.0","0.202","0.144","0.250","0.346","0.279","0.294","0.221","38","188","89.2","12.3","2244","91.1","90.97","109","402","473","-0.1","6.27","108","154","115","148","297","320","294"
"876",621345,"Minter, A.J.","876","100.0","0.226","0.123","0.300","0.349","0.282","0.267","0.210","44","195","86.1","10.9","2351","91.8","91.43","136","434","442","-0.4","6.17","108","151","122","148","301","319","293"
"874",663531,"Allen, Logan","874","100.0","0.291","0.226","0.303","0.518","0.371","0.379","0.292","58","199","90.2","8.8","2148","86.3","85.76","74","391","483","-0.5","5.97","107","152","118","148","296","316","290"
"873",571710,"Givens, Mychal","873","100.0","0.234","0.179","0.286","0.413","0.318","0.318","0.235","43","184","85.3","14.6","2408","88.7","88.67","107","378","494","0.0","6.10","114","152","117","147","299","328","298"
"872",643316,"Fry, Paul","872","100.0","0.213","0.069","0.304","0.282","0.300","0.310","0.215","37","174","87.1","9.7","2512","89.4","89.12","90","352","520","-0.3","6.18","108","153","119","148","299","322","296"
"872",606160,"Montero, Rafael","872","100.0","0.296","0.126","0.353","0.422","0.340","0.289","0.230","59","199","85.7","5.7","2203","92.5","91.49","102","440","432","-1.0","6.22","110","154","115","147","294","323","295"
"871",608665,"Graveman, Kendall","871","100.0","0.180","0.072","0.246","0.253","0.248","0.294","0.224","35","194","87.4","6.2","2240","93.9","94.02","100","391","480","0.1","6.38","111","153","114","149","290","320","295"
"871",622075,"Almonte, Yency","871","100.0","0.260","0.215","0.297","0.475","0.361","0.351","0.250","47","181","87.1","13.6","2154","89.1","89.92","99","372","498","0.8","6.75","112","151","123","147","301","330","303"
"870",643290,"Dunn, Justin","870","100.0","0.201","0.130","0.238","0.332","0.295","0.334","0.226","37","184","89.4","20.0","2419","87.9","88.09","101","408","462","0.2","6.51","111","154","112","148","293","324","299"
"869",660896,"Alcala, Jorge","869","100.0","0.214","0.167","0.246","0.381","0.275","0.293","0.225","45","210","86.5","11.6","2366","93.1","92.13","138","473","396","-1.0","5.71","106","157","116","149","299","329","295"
"866",453265,"Watson, Tony","866","100.0","0.193","0.092","0.226","0.285","0.241","0.284","0.223","40","207","85.1","9.6","2337","88.0","86.00","109","416","450","-2.0","6.10","112","155","113","150","300","325","298"
"866",641729,"Jiménez, Joe","866","100.0","0.206","0.182","0.269","0.388","0.336","0.304","0.167","34","165","88.7","22.7","2392","90.7","90.83","129","412","454","0.1","6.39","109","154","122","148","298","325","297"
"866",448281,"Doolittle, Sean","866","100.0","0.258","0.196","0.316","0.454","0.336","0.317","0.239","50","194","89.8","25.6","2216","90.8","90.55","115","465","401","-0.3","6.11","114","153","117","148","292","317","290"
"865",548384,"Raley, Brooks","865","100.0","0.232","0.130","0.325","0.362","0.294","0.303","0.228","43","185","81.5","9.0","2607","85.5","84.55","132","408","457","-0.9","5.70","112","154","115","148","293","322","290"
"865",543339,"Hudson, Daniel","865","100.0","0.211","0.195","0.288","0.405","0.284","0.277","0.196","40","190","90.0","20.0","2347","94.2","94.15","155","451","414","0.0","6.41","112","153","123","147","305","323","304"
"855",542882,"Andriese, Matt","855","100.0","0.323","0.164","0.395","0.488","0.367","0.342","0.285","65","201","90.7","11.2","2328","88.0","87.49","93","410","445","-0.5","5.88","111","153","120","146","292","324","297"
"852",502624,"Anderson, Chase","852","100.0","0.268","0.253","0.281","0.521","0.366","0.355","0.257","51","190","83.9","12.6","2163","86.2","85.31","93","395","457","-0.9","5.85","111","150","115","149","298","324","294"
"851",608678,"Leone, Dominic","851","100.0","0.195","0.074","0.250","0.268","0.247","0.283","0.209","37","190","87.3","11.0","2354","90.9","90.42","122","403","448","-0.5","6.47","110","153","113","148","297","322","296"
"846",607572,"Howard, Sam","846","100.0","0.211","0.168","0.281","0.379","0.325","0.312","0.192","34","161","86.9","12.7","2346","88.6","87.80","143","376","470","-0.8","5.78","110","151","121","148","301","321","291"
"841",641835,"Mayza, Tim","841","100.0","0.206","0.103","0.265","0.309","0.256","0.272","0.226","40","194","85.3","2.4","2092","92.3","91.80","97","382","459","-0.5","6.23","107","154","118","149","295","317","288"
"835",502706,"Holland, Derek","835","100.0","0.287","0.168","0.354","0.455","0.345","0.312","0.246","58","202","88.6","11.1","2235","88.3","88.19","97","397","438","-0.1","6.33","108","153","119","148","294","326","299"
"835",656232,"Bielak, Brandon","835","100.0","0.254","0.127","0.305","0.381","0.314","0.309","0.244","48","189","86.5","9.7","2338","89.7","88.44","99","392","443","-1.3","5.56","113","154","119","149","291","324","292"
"833",571901,"Loup, Aaron","833","100.0","0.192","0.047","0.259","0.238","0.229","0.272","0.223","37","193","87.4","8.7","2269","87.6","86.92","105","390","443","-0.7","6.10","110","152","109","146","298","324","297"
"832",659275,"Lamet, Dinelson","832","100.0","0.262","0.153","0.347","0.415","0.333","0.304","0.221","48","183","86.5","15.4","2432","90.9","90.30","132","412","420","-0.6","5.93","113","154","127","145","298","324","315"
"828",607237,"Garrett, Amir","828","100.0","0.249","0.200","0.322","0.449","0.340","0.317","0.228","46","185","89.9","8.3","2021","89.9","90.03","121","362","466","0.1","6.51","111","150","115","146","291","315","288"
"826",606303,"Payamps, Joel","826","100.0","0.232","0.147","0.260","0.379","0.286","0.265","0.212","44","190","86.0","13.7","2403","90.1","89.11","92","404","421","-1.0","5.85","110","157","120","147","297","319","295"
"820",657053,"Toussaint, Touki","820","100.0","0.234","0.212","0.252","0.446","0.334","0.361","0.269","43","184","90.2","9.7","2048","87.1","88.00","87","348","472","0.9","6.93","108","152","128","145","302","324","295"
"818",622694,"Hernandez, Elieser","818","100.0","0.265","0.265","0.293","0.529","0.353","0.325","0.245","54","204","88.8","16.0","2127","86.1","86.23","101","426","392","0.1","6.42","111","149","115","149","298","315","287"
"815",608371,"Sims, Lucas","815","100.0","0.200","0.171","0.308","0.371","0.281","0.246","0.168","34","170","85.5","18.6","2835","88.7","87.46","125","356","459","-1.2","5.52","112","152","115","147","295","318","287"
"808",593974,"Peralta, Wandy","808","100.0","0.251","0.133","0.291","0.385","0.309","0.303","0.237","49","195","84.9","4.7","2192","90.6","89.14","130","405","403","-1.5","5.76","108","151","120","145","298","321","288"
"808",458708,"Tomlin, Josh","808","100.0","0.327","0.223","0.358","0.550","0.377","0.346","0.293","69","211","88.7","18.4","2526","83.8","83.02","103","439","369","-0.8","5.75","109","151","128","147","302","321","292"
"805",664854,"Helsley, Ryan","805","100.0","0.227","0.114","0.283","0.341","0.295","0.329","0.245","40","176","90.3","12.3","2471","92.7","92.61","100","368","437","-0.1","6.49","112","154","117","147","298","319","297"
"803",621348,"Clay, Sam","803","100.0","0.296","0.113","0.342","0.409","0.342","0.333","0.267","55","186","89.7","0.6","2060","89.9","88.64","74","357","446","-1.3","5.69","109","152","116","146","298","319","295"
"794",453281,"LeBlanc, Wade","794","100.0","0.283","0.197","0.298","0.480","0.353","0.357","0.287","56","198","86.9","16.1","1904","83.5","83.25","76","371","423","-0.2","6.10","111","153","119","148","300","321","296"
"791",657031,"Taylor, Josh","791","100.0","0.246","0.077","0.355","0.322","0.295","0.314","0.245","45","183","88.1","12.0","2251","90.4","91.08","133","391","400","0.7","6.80","108","152","115","146","289","323","298"
"787",595465,"Winkler, Dan","787","100.0","0.213","0.160","0.255","0.373","0.336","0.331","0.219","32","150","84.0","12.8","2546","91.2","91.89","98","381","406","0.7","6.53","110","152","114","149","297","323","298"
"787",605538,"Wisler, Matt","787","100.0","0.228","0.172","0.304","0.400","0.284","0.246","0.195","41","180","86.8","24.0","2487","82.4","81.30","110","344","443","-1.1","5.90","110","159","117","150","297","321","294"
"776",641360,"Bickford, Phil","776","100.0","0.197","0.153","0.244","0.350","0.263","0.273","0.207","36","183","89.5","12.6","2332","90.4","91.31","117","393","383","0.9","6.87","113","155","116","150","301","317","292"
"775",570257,"Rodríguez, Joely","775","100.0","0.294","0.094","0.366","0.389","0.320","0.293","0.239","53","180","86.1","0.5","1683","91.6","90.63","115","367","408","-1.0","6.35","111","152","121","145","298","323","291"
"775",605513,"Turnbull, Spencer","775","100.0","0.203","0.082","0.255","0.286","0.250","0.268","0.204","37","182","87.5","5.2","2408","90.4","90.26","89","382","393","-0.1","6.32","108","152","116","148","299","328","300"
"775",608328,"De Jong, Chase","775","100.0","0.280","0.309","0.304","0.589","0.391","0.377","0.271","49","175","90.6","16.8","2455","87.2","86.55","81","365","410","-0.6","5.81","112","152","120","148","300","322","294"
"774",664126,"Fairbanks, Pete","774","100.0","0.241","0.090","0.349","0.331","0.294","0.268","0.195","40","166","87.4","12.9","2388","92.3","92.15","110","360","414","-0.2","6.64","108","156","115","150","301","323","293"
"769",451584,"Davis, Wade","769","100.0","0.270","0.184","0.295","0.454","0.341","0.367","0.275","44","163","89.4","16.7","2491","89.1","88.73","87","372","397","-0.4","6.18","108","159","118","145","298","322","298"
"767",596112,"Stephenson, Robert","767","100.0","0.241","0.167","0.311","0.408","0.313","0.305","0.227","42","174","88.1","14.1","2764","89.3","88.89","96","357","410","-0.4","6.11","111","151","121","146","301","330","302"
"765",677976,"Dobnak, Randy","765","100.0","0.310","0.244","0.313","0.554","0.380","0.390","0.317","66","213","91.5","2.0","2086","88.7","87.46","63","362","403","-1.2","5.62","107","157","116","149","300","330","296"
"762",669952,"White, Mitch","762","100.0","0.215","0.141","0.258","0.356","0.276","0.294","0.239","38","177","88.1","8.6","2330","89.4","89.37","85","373","389","0.0","6.32","114","158","119","151","297","316","294"
"761",593833,"Suero, Wander","761","100.0","0.266","0.254","0.293","0.521","0.361","0.352","0.266","45","169","89.0","18.9","2473","90.1","90.39","96","377","384","0.3","6.43","111","153","122","145","302","319","293"
"761",663574,"Santillan, Tony","761","100.0","0.217","0.185","0.276","0.401","0.318","0.308","0.206","34","157","87.6","17.4","2182","90.0","89.38","105","324","437","-0.6","5.87","113","151","115","147","291","320","289"
"757",491624,"Valdez, César","757","100.0","0.320","0.206","0.380","0.526","0.376","0.341","0.292","62","194","89.9","8.1","1860","79.3","78.04","113","395","362","-1.3","5.53","108","151","118","148","298","324","295"
"754",650382,"Hernandez, Darwinzon","754","100.0","0.203","0.140","0.279","0.343","0.320","0.323","0.207","29","143","87.1","10.5","2395","91.7","91.22","97","305","449","-0.5","6.77","111","155","118","148","291","326","298"
"754",664199,"Clarke, Taylor","754","100.0","0.291","0.145","0.350","0.436","0.331","0.322","0.262","52","179","91.4","15.9","2107","91.9","91.69","88","387","366","-0.2","6.16","110","153","118","150","303","329","301"
"754",649144,"Wells, Alexander","754","100.0","0.299","0.220","0.303","0.520","0.377","0.382","0.303","53","177","89.6","18.4","2158","83.5","82.36","53","323","431","-1.1","5.67","110","155","120","148","296","325","291"
"751",605488,"Springs, Jeffrey","751","100.0","0.216","0.228","0.283","0.444","0.302","0.278","0.205","35","162","85.9","13.7","2066","87.6","87.78","127","351","400","0.2","6.56","108","159","116","150","301","319","292"
"749",605525,"Wendelken, J.B.","749","100.0","0.256","0.116","0.310","0.372","0.310","0.327","0.259","44","172","87.9","12.0","2344","90.4","90.12","84","355","394","-0.3","6.13","112","150","119","151","297","324","297"
"748",642130,"Taylor, Blake","748","100.0","0.233","0.166","0.271","0.399","0.310","0.283","0.200","38","163","84.1","16.0","2306","90.2","91.02","82","334","414","0.8","6.68","113","154","118","149","291","320","290"
"736",519242,"Sale, Chris","736","100.0","0.269","0.150","0.358","0.419","0.326","0.287","0.230","45","167","84.3","5.9","2221","87.3","86.71","99","357","379","-0.6","6.31","106","152","114","150","287","329","298"
"732",669674,"Long, Sammy","732","100.0","0.237","0.173","0.278","0.410","0.313","0.311","0.232","37","156","88.7","15.1","2183","83.9","83.35","75","350","382","-0.5","5.97","111","153","115","149","296","320","297"
"731",656458,"Gilbreath, Lucas","731","100.0","0.208","0.119","0.250","0.327","0.285","0.284","0.196","33","159","83.9","13.8","2410","89.1","89.27","99","332","399","0.2","6.30","110","151","121","147","298","327","304"
"731",650530,"Garcia, Bryan","731","100.0","0.294","0.258","0.314","0.552","0.401","0.418","0.294","48","163","91.6","14.2","2109","90.6","90.00","76","334","397","-0.6","5.98","107","152","119","147","299","327","299"
"730",607625,"Lugo, Seth","730","100.0","0.237","0.162","0.307","0.399","0.305","0.314","0.246","41","173","88.2","10.2","2541","88.6","87.99","107","344","386","-0.6","5.99","112","156","113","149","303","327","301"
"729",641582,"Foster, Matt","729","100.0","0.274","0.204","0.309","0.478","0.346","0.357","0.271","43","157","89.8","21.1","2168","90.5","90.07","85","358","371","-0.4","6.01","111","150","117","149","298","319","296"
"726",571656,"Farmer, Buck","726","100.0","0.278","0.222","0.313","0.500","0.380","0.376","0.266","40","144","91.2","14.7","2215","89.3","88.53","85","327","399","-0.8","5.96","109","154","124","148","299","325","297"
"726",528748,"Castellanos, Humberto","726","100.0","0.277","0.185","0.299","0.462","0.347","0.316","0.242","48","173","86.5","11.2","2023","85.8","82.09","49","324","402","-3.7","6.03","110","151","116","150","294","325","295"
"713",453284,"Parker, Blake","713","100.0","0.257","0.138","0.299","0.395","0.310","0.313","0.251","43","167","86.7","16.6","1600","85.4","86.26","79","335","378","0.9","6.74","113","150","118","150","287","313","290"
"712",664074,"Ponce, Cody","712","100.0","0.344","0.270","0.393","0.613","0.413","0.343","0.267","56","163","87.9","11.3","2232","88.3","89.75","78","351","361","1.5","7.04","111","152","121","147","302","320","291"
"712",656322,"Coonrod, Sam","712","100.0","0.247","0.127","0.316","0.373","0.303","0.293","0.225","41","166","86.3","4.2","2170","95.9","96.17","88","353","359","0.3","6.50","110","151","114","148","298","323","293"
"712",523260,"Kelly, Joe","712","100.0","0.174","0.112","0.227","0.286","0.242","0.278","0.207","28","161","85.0","0.3","2415","91.4","90.60","84","299","413","-0.8","5.95","111","155","115","151","302","318","295"
"709",571945,"Mikolas, Miles","709","100.0","0.253","0.153","0.276","0.406","0.307","0.323","0.261","43","170","87.0","8.9","2308","88.3","88.44","60","346","363","0.1","6.40","117","158","116","149","295","320","297"
"705",607359,"Patton, Spencer","705","100.0","0.229","0.127","0.305","0.357","0.287","0.267","0.206","36","157","85.9","12.8","1981","89.4","89.01","87","324","381","-0.4","6.26","114","156","125","147","302","324","295"
"703",595928,"Curtiss, John","703","100.0","0.244","0.163","0.293","0.407","0.303","0.299","0.245","42","172","91.2","16.1","2438","91.3","91.01","95","349","354","-0.3","6.43","108","149","117","147","296","317","292"
"697",660853,"De Los Santos, Enyel","697","100.0","0.291","0.243","0.380","0.534","0.384","0.331","0.238","43","148","86.3","14.9","2123","91.4","90.73","120","376","321","-0.7","5.93","112","151","117","148","296","323","293"
"696",685503,"Arihara, Kohei","696","100.0","0.281","0.319","0.270","0.600","0.395","0.412","0.299","45","160","91.0","11.0","1999","86.5","84.93","55","301","395","-1.6","6.67","115","155","117","147","297","323","299"
"696",667463,"King, John","696","100.0","0.233","0.097","0.286","0.330","0.276","0.280","0.229","41","176","87.9","-1.7","1963","87.4","86.30","90","352","344","-1.1","5.95","113","154","122","147","297","327","294"
"695",622766,"Diaz, Miguel","695","100.0","0.204","0.230","0.235","0.434","0.312","0.344","0.251","31","152","89.9","11.2","1966","89.9","88.94","62","299","396","-1.0","5.70","116","152","131","145","298","324","312"
"689",650556,"Abreu, Bryan","689","100.0","0.254","0.152","0.310","0.406","0.330","0.330","0.246","35","138","89.7","11.7","2431","91.6","91.35","97","312","377","-0.2","6.27","111","153","115","148","293","322","290"
