"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"1254",519043,"Moore, Matt","1254","100.0","0.274","0.235","0.303","0.509","0.368","0.338","0.249","78","285","87.2","14.4","2178","88.5","88.21","130","598","656","-0.3","6.20","108","152","113","147","296","323","290"
"1249",621052,"Reyes, Alex","1249","100.0","0.176","0.118","0.233","0.294","0.281","0.287","0.182","46","262","86.3","17.4","2369","91.7","90.65","192","548","701","-1.0","6.01","114","155","117","148","298","321","301"
"1243",593576,"Neris, Héctor","1243","100.0","0.202","0.180","0.264","0.382","0.292","0.260","0.180","55","272","85.8","11.1","1814","90.0","89.43","211","614","629","-0.6","6.24","111","151","114","148","296","324","294"
"1241",476595,"Luetge, Lucas","1241","100.0","0.238","0.121","0.308","0.359","0.279","0.280","0.239","67","281","86.6","15.2","2623","84.6","84.42","172","626","615","-0.2","6.29","108","152","117","145","299","323","286"
"1240",500779,"Quintana, José","1240","100.0","0.286","0.197","0.378","0.483","0.366","0.342","0.253","74","259","90.0","12.2","1991","87.4","87.13","166","570","670","-0.3","6.51","111","154","117","150","304","324","298"
"1236",606149,"Gallegos, Giovanny","1236","100.0","0.183","0.119","0.247","0.302","0.240","0.272","0.206","51","278","87.7","21.1","2384","90.3","89.20","220","636","600","-1.1","5.72","115","155","117","148","299","321","301"
"1236",594577,"Mayers, Mike","1236","100.0","0.250","0.180","0.326","0.430","0.323","0.297","0.217","71","284","88.9","15.8","2274","90.5","89.44","173","593","643","-1.1","6.01","112","158","118","150","302","326","299"
"1228",612434,"Castro, Miguel","1228","100.0","0.189","0.110","0.241","0.299","0.286","0.313","0.210","48","254","85.7","8.2","2471","92.4","92.65","167","513","715","0.2","6.62","111","154","113","149","300","326","299"
"1226",594798,"deGrom, Jacob","1226","100.0","0.129","0.113","0.213","0.242","0.174","0.190","0.145","40","310","87.7","13.7","2408","95.9","97.09","283","683","543","1.2","6.90","118","155","114","151","299","326","300"
"1225",448855,"Guerra, Junior","1225","100.0","0.262","0.117","0.319","0.379","0.338","0.321","0.237","67","256","86.7","11.0","2092","88.4","88.29","144","531","694","-0.1","6.41","112","156","120","149","302","325","298"
